# compound id (and file prefix), SMILES, iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem), experimental value (kcal/mol), experimental uncertainty (kcal/mol), Mobley group calculated value (GAFF) (kcal/mol), calculated uncertainty (kcal/mol), experimental reference (original or paper this value was taken from), calculated reference, text notes.,dG (TF),std (TF),dG (TF) lrc,lrc,lrc std,lrc diff,nr intst,nr waters,box length,diff,diff GAFF,functional group
mobley_1987439, Cc1cc(cc(c1)C)C, mesitylene,-0.9,0.6,-0.55,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.54,0.07,0.03,-0.51,0.01,0.93,15,666,28,1.44,0.35,aromatic
mobley_2005792, c1ccc(cc1)c2ccccc2, biphenyl,-2.7,0.2,-3.14,0.03, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  Changed IUPAC name from biphenyle to biphenyl for better handling/standardization.  ,-1.47,0.06,-2.09,-0.62,0.01,0.61,18,842,30,1.23,0.44,aromatic
mobley_2008055, CC, ethane,1.83,0.6,2.46,0.01, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.27,0.04,2.17,-0.1,0.02,0.34,8,672,28,0.44,0.63,alkane
mobley_2023925, [C@@H](C(F)(F)F)(OC(F)F)Cl," 2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",0.1,0.6,-1.16,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Renamed mobley_2023925 from 2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane to (2R)-2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane (the name from the 3D structure) since the former did not completely specify stereochemistry.  ",-2.66,0.16,-3,-0.34,0,3.1,16,663,28,2.76,1.26,alkyl chloride
mobley_2043882, CC(=O)C1CCCCC1, 1-cyclohexylethanone,-3.9,0.6,-4,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.17,0.06,-5.63,-0.46,0.01,1.73,15,665,28,1.27,0.1,ketone
mobley_2049967, CCSC, methylsulfanylethane,-1.5,0.2,0.39,0.02, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  Changed IUPAC name from ethylmethylsulfide to methylsulfanylethane for better handling/standardization.  ,0.83,0.05,0.54,-0.29,0.01,2.04,10,671,28,2.33,1.89,thioether
mobley_20524, c1ccc(cc1)O, phenol,-6.6,0.2,-5.71,0.03, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,-4.66,0.04,-5.02,-0.36,0.01,1.58,13,669,28,1.94,0.89,phenol or hydroxyhetarene
mobley_2068538, CCC, propane,2,0.2,2.5,0.02, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,2.42,0.02,2.25,-0.17,0.02,0.25,9,670,28,0.42,0.5,alkane
mobley_2078467, C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O, ibuprofen,-7,0.64,-10.86,0.05, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.46,0.13,-3.24,-0.78,0.01,3.76,21,908,31,4.54,3.86,carboxylic acid
mobley_2099370, C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O, ketoprofen,-10.78,0.18,-17.24,0.06, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104, Renamed mobley_2099370 from ketoprofen to (2S)-2-(3-benzoylphenyl)propanoic acid (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,-9.16,0.08,-10.12,-0.96,0,0.66,25,906,31,1.62,6.46,ketone
mobley_210639, CC(C)I, 2-iodopropane,-0.46,0.6,-0.49,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.64,0.08,0.28,-0.36,0.01,0.74,10,668,28,1.1,0.03,alkyl iodide
mobley_2123854, c1cc(ccc1C#N)O, 4-hydroxybenzonitrile,-10.17,0.6,-8.39,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-8.5,0.08,-8.98,-0.48,0.01,1.19,15,665,28,1.67,1.78,phenol or hydroxyhetarene
mobley_2126135, CCc1ccccc1O, 2-ethylphenol,-5.66,0.1,-4.77,0.03, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.07,0.05,-3.55,-0.48,0.01,2.11,15,665,28,2.59,0.89,phenol or hydroxyhetarene
mobley_2143011, CC(C)C=C, 3-methylbut-1-ene,1.83,0.6,2.45,0.02, 10.1021/jp0264477, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.75,0.18,1.48,-0.27,0.02,0.35,11,668,28,0.08,0.62,alkene
mobley_2178600, CCCCCCl, 1-chloro-pentane,-0.1,0.2,1.08,0.03, 10.1039/P29900000291, 10.1021/acs.jced.7b00104, Experimental uncertainty as suggested by 10.1039/P29900000291 -- 0.2 kcal/mol.  ,1.46,0.12,1.11,-0.35,0.02,1.21,12,665,28,1.56,1.18,alkyl chloride
mobley_2183616, CC[C@H](C)c1ccccc1, sec-butylbenzene,-0.45,0.6,-0.22,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104, Renamed mobley_2183616 from sec-butylbenzene to [(1S)-1-methylpropyl]benzene (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,0.94,0.1,0.41,-0.53,0.04,0.86,16,748,29,1.39,0.23,aromatic
mobley_2197088, CCCCCCCCCC, decane,3.16,0.6,3.33,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",3.81,0.01,3.25,-0.56,0.01,0.09,16,842,30,0.65,0.17,alkane
mobley_2198613, CCCl, chloroethane,-0.63,0.6,0.78,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.87,0.12,0.69,-0.18,0.02,1.32,9,670,28,1.5,1.41,alkyl chloride
mobley_2213823, CCC(C)CC, 3-methylpentane,2.51,0.6,2.61,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.96,0.08,2.62,-0.34,0.01,0.11,12,667,28,0.45,0.1,alkane
mobley_2245668, CC(C)CO, 2-methylpropan-1-ol,-4.5,0.6,-3.13,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.58,0.04,-3.86,-0.28,0.02,0.64,11,667,28,0.92,1.37,primary alcohol
mobley_2261979, c1cc2cccc3c2c(c1)CC3, acenaphthene,-3.15,0.6,-4.2,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.11,0.1,-2.72,-0.61,0.02,0.43,18,665,28,1.04,1.05,aromatic
mobley_2269032, C[C@@H](c1ccc2cc(ccc2c1)OC)C(=O)O, naproxen,-10.21,0.18,-12.2,0.05, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.75,0.48,-7.6,-0.85,0.01,2.61,23,997,32,3.46,1.99,alkyl aryl ether
mobley_2279874, COC(OC)OC, trimethoxymethane,-4.42,0.6,-4.62,0.03, 10.1039/F19736901577, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.49,0.07,-3.81,-0.32,0.02,0.61,13,666,28,0.93,0.2,orthocarboxylic acid derivative
mobley_2294995, CCOC=O, ethyl formate,-2.56,0.6,-3.87,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.7,0.12,-2.91,-0.21,0.01,0.35,11,669,28,0.14,1.31,carboxylic acid ester
mobley_2295058, COC(=O)c1ccc(cc1)O, methyl paraben,-9.51,0.26,-9.79,0.03, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-7.62,0.05,-8.14,-0.52,0.02,1.37,17,751,29,1.89,0.28,phenol or hydroxyhetarene
mobley_2310185, CCO, ethanol,-5,0.6,-3.39,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.49,0.06,-4.67,-0.18,0,0.33,9,670,28,0.51,1.61,primary alcohol
mobley_2316618, c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO," 1-(2-hydroxyethylamino)-9,10-anthraquinone",-14.21,1.1,-13.6,0.05, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-12.42,0.54,-13.41,-0.99,0.01,0.8,26,997,32,1.79,0.61,ketone
mobley_2328633, CCCCCC1CCCC1, pentylcyclopentane,2.55,0.6,2.38,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.68,0.15,2.12,-0.56,0.02,0.43,16,749,29,0.13,0.17,alkane
mobley_2341732, CCCCC(=O)OC, methyl pentanoate,-2.56,0.6,-3.49,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.87,0.09,-4.25,-0.38,0.01,1.69,14,665,28,1.31,0.93,carboxylic acid ester
mobley_2354112, CCc1cccc(c1)O, 3-ethylphenol,-6.25,0.6,-5.27,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.13,0.07,-4.63,-0.5,0.01,1.62,15,665,28,2.12,0.98,phenol or hydroxyhetarene
mobley_2364370, CCCCOC(=O)C, butyl acetate,-2.64,0.6,-3.41,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.56,0.11,-2.94,-0.38,0.03,0.3,14,667,28,0.08,0.77,carboxylic acid ester
mobley_2371092, Cc1ccncc1C," 3,4-dimethylpyridine",-5.22,0.6,-3.2,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.78,0.04,-4.2,-0.42,0.01,1.02,14,667,28,1.44,2.02,aromatic
mobley_2390199, CCCC(=O)CCC, heptan-4-one,-2.92,0.6,-2.7,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.66,0.04,-3.06,-0.4,0.01,0.14,14,666,28,0.26,0.22,ketone
mobley_2402487, CCOC(=O)CC(=O)OCC, diethyl propanedioate,-6,0.6,-6.72,0.03, 10.1139/v91-2, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.48,0.66,-4.97,-0.49,0,1.03,17,662,28,1.52,0.72,carboxylic acid ester
mobley_2410897, CCN, ethanamine,-4.5,0.6,-3.16,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.2,0.02,-1.34,-0.14,0,3.16,9,671,28,3.3,1.34,primary amine
mobley_2422586, CCCOC, 1-methoxypropane,-1.66,0.6,-0.6,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.71,0.05,-0.96,-0.25,0.02,0.7,11,669,28,0.95,1.06,dialkyl ether
mobley_242480, c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N," 1,4-diamino-9,10-anthracenedione",-11.85,0.35,-15.25,0.04, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-12.21,0.17,-13.13,-0.92,0.02,1.28,24,836,30,0.36,3.4,ketone
mobley_2451097, c1ccc(cc1)C#N, benzonitrile,-4.1,0.6,-3.24,0.03, 10.1039/P29940001777, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.7,0.05,-4.13,-0.43,0.01,0.03,14,667,28,0.4,0.86,carbonitrile
mobley_2457863, COc1cccc(c1)O, 3-methoxyphenol,-7.66,0.6,-6.97,0.04, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.47,0.05,-6.91,-0.44,0.01,0.75,15,665,28,1.19,0.69,phenol or hydroxyhetarene
mobley_2481002, C([N+](=O)[O-])(Cl)(Cl)Cl, trichloro(nitro)methane,-1.45,0.1,-0.38,0.02, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from chloropicrin to trichloro(nitro)methane for better handling/standardization.  ",-10.07,0.07,-10.49,-0.42,0.01,9.04,13,663,28,8.62,1.07,halogen derivative
mobley_2484519, c1ccc(cc1)CCl, benzyl chloride,-1.93,0.2,-1.74,0.03, 10.1021/jm070549+, 10.1021/acs.jced.7b00104," Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",-2.02,0.04,-2.46,-0.44,0.01,0.53,14,667,28,0.09,0.19,alkyl chloride
mobley_2487143, CCCCC(=O)C, hexan-2-one,-3.28,0.6,-3.01,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.19,0.01,-3.54,-0.35,0.01,0.26,13,666,28,0.09,0.27,ketone
mobley_2489709, c1ccc(c(c1)Cl)Cl," 1,2-dichlorobenzene",-1.36,0.6,-0.55,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.87,0.07,-1.28,-0.41,0.01,0.08,14,663,28,0.49,0.81,aryl chloride
mobley_2492140, C(C(Cl)(Cl)Cl)(Cl)Cl," 1,1,1,2,2-pentachloroethane",-1.23,0.1,0.06,0.03, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.8,0.12,-1.29,-0.49,0.01,0.06,13,658,28,0.43,1.29,alkyl chloride
mobley_2493732, C=C(Cl)Cl," 1,1-dichloroethylene",0.25,0.6,1.11,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.41,0.09,0.13,-0.28,0.02,0.12,10,667,28,0.16,0.86,ketene acetal or derivative
mobley_2501588, CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-], profluralin,-2.45,1.37,-1.96,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.32,0.21,-7.46,-1.14,0.01,5.01,30,830,30,3.87,0.49,tertiary amine
mobley_2517158, CCCCCCCBr, 1-bromoheptane,0.34,0.6,1.22,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.73,0.09,0.22,-0.51,0.01,0.12,14,842,30,0.39,0.88,alkyl bromide
mobley_2523689, c1ccc(cc1)n2c(=O)c(c(cn2)N)Cl, 5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,-16.43,1.93,-16.04,0.04, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from pyrazon to 5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one for better handling/standardization.  ",-15.14,0.13,-15.95,-0.81,0.02,0.48,21,838,30,1.29,0.39,primary amine
mobley_252413, CCCC(C)(C)C," 2,2-dimethylpentane",2.88,0.6,2.69,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.99,0.1,2.61,-0.38,0.02,0.27,13,668,28,0.11,0.19,alkane
mobley_2577969, c1cc2ccc3cccc4c3c2c(c1)cc4, pyrene,-4.52,0.6,-6.79,0.04, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.08,0.05,-4.91,-0.83,0.01,0.39,22,838,30,0.44,2.27,aromatic
mobley_2607611, CCCCCCOC(=O)C, hexyl acetate,-2.26,0.6,-2.22,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.04,0.11,-2.54,-0.5,0.02,0.28,16,751,29,0.22,0.04,carboxylic acid ester
mobley_2609604, CCC(C)(C)CC," 3,3-dimethylpentane",2.56,0.6,2.59,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.8,0.07,2.38,-0.42,0.01,0.18,13,667,28,0.24,0.03,alkane
mobley_2613240, COc1ccccc1OC," 1,2-dimethoxybenzene",-5.33,0.1,-4.05,0.03, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.66,0.66,-5.17,-0.51,0.01,0.16,16,664,28,0.67,1.28,alkyl aryl ether
mobley_2636578, C(CO[N+](=O)[O-])CO[N+](=O)[O-], 3-nitrooxypropyl nitrate,-4.8,0.39,-5.32,0.03, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  IUPAC name and SMILES standardized in v0.2 to match PubChem.  ",-4.05,0.1,-4.53,-0.48,0.01,0.27,17,663,28,0.75,0.52,anion
mobley_2659552, Cc1ccc(cc1)C(=O)N(C)C," N,N-4-trimethylbenzamide",-9.76,0.2,-8.08,0.04, 10.1021/jm070549+, 10.1021/acs.jced.7b00104," Topology and coordinate files re-generated 10/9/13 from original .mol2 files.  Experimental uncertainty not presently available, so assigned a default value.  Experimental uncertainty estimate updated to 0.2 as of v0.2 to match uncertainty estimate given in Nicholls et al. paper.  ",-8.25,0.11,-8.91,-0.66,0,0.85,18,842,30,1.51,1.68,tertiary carboxylic acid amide
mobley_2661134, c1cc(cc(c1)O)C#N, 3-hydroxybenzonitrile,-9.65,0.6,-7.74,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-8.4,0.08,-8.86,-0.46,0.02,0.79,15,666,28,1.25,1.91,phenol or hydroxyhetarene
mobley_2681549, c1c(cc(cc1Cl)Cl)Cl," 1,3,5-trichlorobenzene",-0.78,0.6,0.33,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.3,0.08,-0.78,-0.48,0.01,0,15,749,29,0.48,1.11,aryl chloride
mobley_2689721, C1CCCCC1, cyclohexane,1.23,0.6,1.5,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",1.92,0.01,1.62,-0.3,0,0.39,12,669,28,0.69,0.27,alkane
mobley_2693089, CC(C)Cc1cnccn1, 2-isobutylpyrazine,-5.04,0.6,-5.5,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.08,0.08,-4.55,-0.47,0.01,0.49,16,665,28,0.96,0.46,aromatic
mobley_2725215, CCCN(CCC)c1c(cc(cc1[N+](=O)[O-])S(=O)(=O)C)[N+](=O)[O-], nitralin,-7.98,1.93,-11.25,0.05, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-18.22,0.17,-19.49,-1.27,0.02,11.51,29,898,31,10.24,3.27,tertiary amine
mobley_2725802, CC(=O)N1CCCC1, 1-pyrrolidin-1-ylethanone,-9.8,0.6,-7.83,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-6.63,0.08,-7.11,-0.48,0.02,2.69,14,668,28,3.17,1.97,tertiary carboxylic acid amide
mobley_2727678, c1c(c(=O)[nH]c(=O)[nH]1)I, 5-iodouracil,-18.72,0.64,-17.74,0.03, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-14.48,0.07,-15.12,-0.64,0.01,3.6,15,752,29,4.24,0.98,aryl iodide
mobley_2751110, c1cc(ccc1[N+](=O)[O-])O, 4-nitrophenol,-10.64,0.6,-8.47,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-7.48,0.02,-7.99,-0.51,0.01,2.65,16,664,28,3.16,2.17,phenol or hydroxyhetarene
mobley_2763835, CCOc1ccccc1, ethoxybenzene,-2.22,0.6,-2.25,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2,0.06,-2.45,-0.45,0.02,0.23,15,665,28,0.22,0.03,alkyl aryl ether
mobley_2771569, CN1CCNCC1, 1-methylpiperazine,-7.77,0.6,-8.17,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-7.33,0.33,-7.68,-0.35,0.02,0.09,13,667,28,0.44,0.4,secondary amine
mobley_2782339, c1ccc2c(c1)C(=O)NC2=O, phthalimide,-9.61,0.5,-11.82,0.03, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-18.54,0.12,-19.08,-0.54,0.01,9.47,17,665,28,8.93,2.21,"carboxylic acid imide, N-unsubstituted"
mobley_2784376, C1CC1, cyclopropane,0.75,0.6,2.48,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",2.25,0.07,2.14,-0.11,0.02,1.39,9,671,28,1.5,1.73,alkane
mobley_2789243, c1cc(cnc1)Cl, 3-chloropyridine,-4.01,0.6,-2.77,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.4,0.02,-3.74,-0.34,0,0.27,13,665,28,0.61,1.24,aryl chloride
mobley_2792521, CCC/C=C/C=O, (2E)-hex-2-enal,-3.68,0.6,-3.12,0.03, 10.1021/jf60178a004 and 10.1016/S1387-3806(02)00927-2, 10.1021/acs.jced.7b00104," Renamed mobley_2792521 from hex-2-enal to (E)-hex-2-enal (the name from the 3D structure) since the former did not completely specify stereochemistry.  Experimental value provided by J. Peter Guthrie, University of Western Ontario, 10/23/2013, as a weighted average of the Buttery et al. and Karl et al. values noted in the experimental reference field.  ",-4.99,0.06,-5.33,-0.34,0.01,1.65,13,668,28,1.31,0.56,aldehyde
mobley_2802855, CCCCBr, 1-bromobutane,-0.4,0.6,0.7,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",0.07,0.08,-0.27,-0.34,0.01,0.13,11,666,28,0.47,1.1,alkyl bromide
mobley_282648, c1ccc2ccccc2c1, naphthalene,-2.4,0.6,-3.21,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-1.67,0.07,-2.17,-0.5,0.01,0.23,16,666,28,0.73,0.81,aromatic
mobley_2837389, c1cc[nH]c1, pyrrole,-4.78,0.6,-4.01,0.02, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.93,0.05,-5.19,-0.26,0.01,0.41,11,669,28,0.15,0.77,aromatic
mobley_2844990, c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl," 1,2,3,7-tetrachlorodibenzo-p-dioxin",-3.84,1,-2.66,0.04, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-2.68,0.02,-3.6,-0.92,0.02,0.24,24,1219,34,1.16,1.18,diaryl ether
mobley_2845466, c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl," 2,3,7,8-tetrachlorodibenzo-p-dioxin",-3.37,1,-2.54,0.04, 10.1007/s10822-012-9568-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-3.13,0.08,-4.04,-0.91,0.02,0.67,24,1106,33,0.24,0.83,diaryl ether
mobley_2850833, c1ccc(c(c1)C=O)O, 2-hydroxybenzaldehyde,-4.68,0.1,-8.81,0.03, SAMPL4_Guthrie, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-5.72,0.05,-6.13,-0.41,0.01,1.45,15,666,28,1.04,4.13,aldehyde
mobley_2859600, C=Cc1ccccc1, styrene,-1.24,0.6,-1.08,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.98,0.05,-1.39,-0.41,0,0.15,14,667,28,0.26,0.16,alkene
mobley_2864987, CCC[C@@H](C)O, pentan-2-ol,-4.39,0.6,-2.94,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104, Renamed mobley_2864987 from pentan-2-ol to (2R)-pentan-2-ol (the name from the 3D structure) since the former did not completely specify stereochemistry.  ,-2.9,0.04,-3.24,-0.34,0.02,1.15,12,667,28,1.49,1.45,secondary alcohol
mobley_2881590, CC(C)CO[N+](=O)[O-], isobutyl nitrate,-1.88,0.1,-1.83,0.03, 10.1021/jp806724u, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.36,0.11,-0.74,-0.38,0.01,1.14,14,666,28,1.52,0.05,nitrate
mobley_2913224, CC(=O)Oc1ccccc1C(=O)O, acetylsalicylic acid,-9.94,0.18,-9.4,0.04, 10.1007/s10822-010-9350-8, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-9.32,0.16,-9.9,-0.58,0.01,0.04,19,749,29,0.62,0.54,carboxylic acid
mobley_2923700, CCc1ccc(cc1)O, 4-ethylphenol,-6.13,0.6,-5.45,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.22,0.04,-4.68,-0.46,0.01,1.45,15,666,28,1.91,0.68,phenol or hydroxyhetarene
mobley_2925352, Cc1ccc(cc1)O, p-cresol,-6.13,0.6,-5.58,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.44,0.1,-4.86,-0.42,0.02,1.27,14,668,28,1.69,0.55,phenol or hydroxyhetarene
mobley_2929847, CC(C)CC(=O)O, 3-methylbutanoic acid,-6.09,0.6,-8.84,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-4.24,0.08,-4.58,-0.34,0.01,1.51,13,667,28,1.85,2.75,carboxylic acid
mobley_2958326, CCCNCCC, N-propylpropan-1-amine,-3.65,0.6,-2.23,0.03, 10.1021/ct050097l, 10.1021/acs.jced.7b00104," Experimental uncertainty not presently available, so assigned a default value.  ",-0.84,0.09,-1.21,-0.37,0.01,2.44,13,667,28,2.81,1.42,secondary amine
